time_th,open,high,low,close,tick_volume,tr,atr14,range,body,upper_wick,lower_wick,close_pos,swing_high,swing_low,structure_event,bos_up,bos_dn,choch_up,choch_dn,ema20,ema50,pmh,pml,pmc,sweep_prev_high,sweep_prev_low
2023-04-30T07:00:00+0700,1.1022,1.10909,1.09417,1.1015,238087,0.014919999999999822,0.01761727272727268,0.014919999999999822,0.000700000000000145,0.006889999999999841,0.007329999999999837,0.49128686327077237,0,0,,0,0,0,0,1.0759586368443883,1.0649326721114214,1.09292,1.05156,1.08357,0,0
2023-05-07T07:00:00+0700,1.10217,1.10532,1.08458,1.08458,206499,0.02073999999999998,0.017877499999999952,0.02073999999999998,0.017589999999999995,0.003149999999999986,0.0,0.0,0,0,,0,0,0,0,1.0767797190496846,1.0657031555580323,1.10946,1.07877,1.1015,0,0
2023-05-14T07:00:00+0700,1.08596,1.09042,1.07596,1.08048,197995,0.014459999999999917,0.017614615384615336,0.014459999999999917,0.005479999999999929,0.0044599999999999085,0.0045200000000000795,0.3125864453665356,0,0,,0,0,0,0,1.0771321267592384,1.0662826396537957,1.10946,1.07877,1.1015,0,1
2023-05-21T07:00:00+0700,1.0803,1.08308,1.07014,1.07196,218419,0.012939999999999952,0.017280714285714236,0.012939999999999952,0.008340000000000014,0.0027800000000000047,0.0018199999999999328,0.14064914992271557,0,0,,0,0,0,0,1.0766395432583586,1.0665052812359999,1.10946,1.07877,1.1015,0,0
2023-05-28T07:00:00+0700,1.07132,1.07785,1.06347,1.07059,201389,0.01438000000000006,0.01774928571428566,0.01438000000000006,0.0007300000000001194,0.006529999999999925,0.007120000000000015,0.4951321279554928,0,1,,0,0,0,0,1.0760633962813722,1.0666654662855686,1.10946,1.07877,1.1015,0,0
2023-06-04T07:00:00+0700,1.07102,1.07865,1.06666,1.07466,188671,0.011990000000000167,0.017474285714285682,0.011990000000000167,0.0036399999999998656,0.00399000000000016,0.0043600000000001415,0.6672226855713007,0,0,,0,0,0,0,1.0759297394926701,1.0669789774116247,1.10532,1.06347,1.07059,0,0
2023-06-11T07:00:00+0700,1.07457,1.09702,1.07327,1.09346,208444,0.02375000000000016,0.017912857142857126,0.02375000000000016,0.018890000000000073,0.0035600000000000076,0.0013000000000000789,0.8501052631578955,0,0,,0,0,0,0,1.077599288112416,1.0680174488856788,1.10532,1.06347,1.07059,0,0
2023-06-18T07:00:00+0700,1.09385,1.10117,1.0844,1.08851,206830,0.01676999999999995,0.017369285714285705,0.01676999999999995,0.0053399999999999,0.007319999999999993,0.004110000000000058,0.24508050089445854,1,0,,0,0,0,0,1.0786384035302812,1.0688210783411425,1.10532,1.06347,1.07059,0,0
2023-06-25T07:00:00+0700,1.09001,1.09762,1.08349,1.09029,214031,0.014129999999999976,0.016247857142857147,0.014129999999999976,0.000280000000000058,0.007330000000000059,0.006519999999999859,0.48124557678697305,0,0,,0,0,0,0,1.0797480793845402,1.0696629968375684,1.10532,1.06347,1.07059,0,0
2023-07-02T07:00:00+0700,1.09057,1.09728,1.08333,1.09595,195954,0.013950000000000129,0.01595000000000002,0.013950000000000129,0.00537999999999994,0.0013300000000000534,0.007240000000000135,0.9046594982078824,0,1,,0,0,0,0,1.0812911194431554,1.0706938597066833,1.10117,1.06666,1.09029,0,0
2023-07-09T07:00:00+0700,1.09543,1.12445,1.0943100000000001,1.12176,224787,0.030139999999999834,0.01678071428571429,0.030139999999999834,0.026330000000000187,0.002689999999999859,0.0011199999999997878,0.9107498341075025,0,0,BOS_UP,1,0,0,0,1.0851452985438073,1.0726964534436763,1.10117,1.06666,1.09029,0,0
2023-07-16T07:00:00+0700,1.12251,1.12753,1.11074,1.11209,227183,0.01678999999999986,0.01623357142857142,0.01678999999999986,0.010419999999999874,0.0050200000000000244,0.0013499999999999623,0.08040500297796149,1,0,,0,0,0,0,1.0877114605872542,1.0742412984066694,1.10117,1.06666,1.09029,0,0
2023-07-23T07:00:00+0700,1.11178,1.11492,1.09432,1.10088,264856,0.02059999999999995,0.017057857142857125,0.02059999999999995,0.01089999999999991,0.0031399999999999206,0.006560000000000121,0.3184466019417542,0,0,,0,0,0,0,1.0889656071979918,1.0752859533711137,1.10117,1.06666,1.09029,1,0
2023-07-30T07:00:00+0700,1.1015,1.10454,1.09119,1.10001,250529,0.013349999999999973,0.01706499999999998,0.013349999999999973,0.0014899999999999913,0.0030400000000001537,0.008819999999999828,0.6606741573033592,0,0,,0,0,0,0,1.0900174541315164,1.0762555238271485,1.10117,1.06666,1.09029,1,0
2023-08-06T07:00:00+0700,1.10064,1.10643,1.09286,1.0939,221265,0.013570000000000082,0.016968571428571427,0.013570000000000082,0.006739999999999968,0.005789999999999962,0.001040000000000152,0.07663964627856637,0,0,,0,0,0,0,1.0903872204047054,1.0769474640692211,1.12753,1.08333,1.10001,0,0
2023-08-13T07:00:00+0700,1.09435,1.0959699999999999,1.08445,1.08635,253195,0.011519999999999975,0.016309999999999998,0.011519999999999975,0.008000000000000007,0.0016199999999999548,0.0019000000000000128,0.16493055555555702,0,0,,0,0,0,0,1.090002723223305,1.0773161909684674,1.12753,1.08333,1.10001,0,0
2023-08-20T07:00:00+0700,1.08618,1.09299,1.07653,1.07897,222560,0.01645999999999992,0.01645285714285714,0.01645999999999992,0.007209999999999939,0.006809999999999983,0.0024399999999999977,0.148238153098421,0,0,CHOCH_DN,0,0,0,1,1.0889519876782283,1.077381046224606,1.12753,1.08333,1.10001,0,0
2023-08-27T07:00:00+0700,1.0791,1.0945,1.07666,1.07683,222444,0.017840000000000078,0.01680285714285715,0.017840000000000078,0.0022699999999999942,0.01540000000000008,0.00017000000000000348,0.009529147982062934,0,0,BOS_DN,0,1,0,0,1.0877975126612542,1.0773594365687393,1.12753,1.08333,1.10001,0,0
2023-09-03T07:00:00+0700,1.07712,1.08084,1.06857,1.06947,189672,0.012270000000000003,0.016652142857142862,0.012270000000000003,0.007650000000000157,0.0037199999999999456,0.0008999999999999009,0.07334963325182564,0,0,BOS_DN,0,1,0,0,1.0860520352649443,1.0770500468993771,1.10643,1.07653,1.07683,0,0
2023-09-10T07:00:00+0700,1.07097,1.07679,1.06289,1.0649,216326,0.013900000000000023,0.016788571428571424,0.013900000000000023,0.00607000000000002,0.005819999999999936,0.0020100000000000673,0.1446043165467672,0,0,BOS_DN,0,1,0,0,1.0840375557159019,1.0765735744719507,1.10643,1.07653,1.07683,0,0
2023-09-17T07:00:00+0700,1.0653,1.07363,1.06144,1.06385,196287,0.012190000000000145,0.015962857142857136,0.012190000000000145,0.0014499999999999513,0.00833000000000017,0.0024100000000000232,0.19770303527481498,0,0,BOS_DN,0,1,0,0,1.0821149313620064,1.0760746107671684,1.10643,1.07653,1.07683,0,0
2023-09-24T07:00:00+0700,1.06321,1.06551,1.04876,1.0562,216415,0.016750000000000043,0.01596142857142857,0.016750000000000043,0.007009999999999961,0.0022999999999999687,0.007440000000000113,0.44417910447761755,0,0,BOS_DN,0,1,0,0,1.079646842660863,1.075295214266495,1.10643,1.07653,1.07683,0,0
2023-10-01T07:00:00+0700,1.05569,1.05995,1.04478,1.0582799999999999,245207,0.015169999999999906,0.01603571428571428,0.015169999999999906,0.00258999999999987,0.0016700000000000603,0.010909999999999975,0.8899143045484462,0,1,,0,0,0,0,1.0776119052645903,1.0746279509619265,1.08084,1.04876,1.0562,0,1
2023-10-08T07:00:00+0700,1.05468,1.06393,1.04951,1.05039,246777,0.0144200000000001,0.016069285714285706,0.0144200000000001,0.004290000000000127,0.00924999999999998,0.0008799999999999919,0.061026352288487226,0,0,,0,0,0,0,1.075019342858439,1.0736774430810667,1.08084,1.04876,1.0562,0,0
2023-10-15T07:00:00+0700,1.05056,1.06163,1.05027,1.0591,225935,0.011360000000000037,0.01472785714285715,0.011360000000000037,0.008539999999999992,0.0025300000000001432,0.00028999999999990145,0.7772887323943543,0,0,,0,0,0,0,1.073503214967159,1.0731057786465152,1.08084,1.04876,1.0562,0,0
