time_th,open,high,low,close,tick_volume,tr,atr14,range,body,upper_wick,lower_wick,close_pos,swing_high,swing_low,structure_event,bos_up,bos_dn,choch_up,choch_dn,ema20,ema50,pdh,pdl,pdc,sweep_prev_high,sweep_prev_low
2025-11-28T07:00:00+0700,1.15917,1.16015,1.15811,1.15825,3629,0.0020400000000000418,0.0022592857142857176,0.0020400000000000418,0.0009200000000000319,0.0009799999999999809,0.000140000000000029,0.06862745098040496,1,0,,0,0,0,0,1.1575558983830772,1.1565913578703977,1.16131,1.15761,1.15945,0,0
2025-11-28T11:00:00+0700,1.15827,1.15923,1.15811,1.15881,9788,0.0011200000000000099,0.0021392857142857086,0.0011200000000000099,0.0005399999999999849,0.00042000000000008697,0.00015999999999993797,0.6249999999999256,0,0,,0,0,0,0,1.157675336632308,1.1566783634441076,1.16131,1.15761,1.15945,0,0
2025-11-28T15:00:00+0700,1.15875,1.15899,1.1565699999999999,1.15672,19058,0.0024200000000000887,0.0021707142857142797,0.0024200000000000887,0.0020299999999999763,0.00024000000000001798,0.0001500000000000945,0.06198347107441694,0,0,CHOCH_DN,0,0,0,1,1.157584352191136,1.156679996250221,1.16131,1.15761,1.15945,0,0
2025-11-28T19:00:00+0700,1.1568100000000001,1.15781,1.15546,1.1574200000000001,14035,0.0023500000000000743,0.0022178571428571442,0.0023500000000000743,0.0006099999999999994,0.00038999999999989043,0.0013500000000001844,0.8340425531915412,0,1,,0,0,0,0,1.157568699601504,1.1567090160051143,1.16131,1.15761,1.15945,0,0
2025-11-28T23:00:00+0700,1.15741,1.16071,1.15707,1.16023,8941,0.0036399999999998656,0.0022621428571428476,0.0036399999999998656,0.0028200000000000447,0.0004799999999998139,0.00034000000000000696,0.8681318681319143,0,0,CHOCH_UP,0,0,1,0,1.157822156782313,1.1568470938088355,1.16131,1.15761,1.15945,0,1
2025-11-29T03:00:00+0700,1.16023,1.16041,1.15947,1.15951,4176,0.0009399999999999409,0.0020749999999999697,0.0009399999999999409,0.0007200000000000539,0.00017999999999984695,4.0000000000040004e-05,0.042553191489406936,0,0,,0,0,0,0,1.1579829037554261,1.1569515215026067,1.16071,1.15546,1.16023,0,0
2025-12-01T07:00:00+0700,1.159,1.16153,1.15889,1.1604700000000001,5778,0.0026399999999999757,0.001879999999999977,0.0026399999999999757,0.0014700000000000824,0.0010599999999998388,0.0001100000000000545,0.5984848484849058,0,0,BOS_UP,1,0,0,0,1.158219770064433,1.157089501051524,1.16041,1.15947,1.15951,0,1
2025-12-01T11:00:00+0700,1.1604700000000001,1.16053,1.1589,1.15975,4836,0.0016300000000000203,0.001937857142857134,0.0016300000000000203,0.0007200000000000539,5.999999999994898e-05,0.0008500000000000174,0.521472392638041,0,0,,0,0,0,0,1.1583655062487728,1.1571938343436212,1.16041,1.15947,1.15951,1,1
2025-12-01T15:00:00+0700,1.15973,1.16231,1.159,1.16217,8303,0.003309999999999924,0.0020014285714285668,0.003309999999999924,0.0024399999999999977,0.000140000000000029,0.0007299999999998974,0.9577039274924374,0,0,BOS_UP,1,0,0,0,1.1587278389869848,1.1573889780948519,1.16041,1.15947,1.15951,0,1
2025-12-01T19:00:00+0700,1.16217,1.16515,1.16185,1.16445,8325,0.0032999999999998586,0.002139999999999983,0.0032999999999998586,0.0022800000000000598,0.0006999999999999229,0.00031999999999987594,0.7878787878788022,1,0,,0,0,0,0,1.1592728067025102,1.1576658809146616,1.16041,1.15947,1.15951,0,0
2025-12-01T23:00:00+0700,1.16445,1.1644700000000001,1.16175,1.16202,10136,0.0027200000000000557,0.0021285714285714163,0.0027200000000000557,0.002429999999999932,2.0000000000131024e-05,0.00026999999999999247,0.09926470588234813,0,0,,0,0,0,0,1.159534444159414,1.1578366306827141,1.16041,1.15947,1.15951,0,0
2025-12-02T03:00:00+0700,1.16202,1.1623,1.16062,1.16075,3445,0.0016800000000001258,0.002107142857142847,0.0016800000000001258,0.0012700000000001044,0.000280000000000058,0.00012999999999996348,0.07738095238092485,0,0,,0,0,0,0,1.159650211382327,1.1579508804598626,1.16515,1.15889,1.16202,0,0
2025-12-02T07:00:00+0700,1.16068,1.16107,1.16033,1.16088,2568,0.0007399999999999629,0.002079285714285712,0.0007399999999999629,0.00019999999999997797,0.0001900000000001345,0.00034999999999985043,0.7432432432430486,0,0,,0,0,0,0,1.1597673341078196,1.1580657478928091,1.16515,1.15889,1.16202,0,0
2025-12-02T11:00:00+0700,1.16087,1.16137,1.16067,1.16095,2668,0.0006999999999999229,0.0020878571428571335,0.0006999999999999229,7.999999999985796e-05,0.00042000000000008697,0.00019999999999997797,0.3999999999998097,0,0,,0,0,0,0,1.159879968954694,1.1581788558185815,1.16515,1.15889,1.16202,0,0
2025-12-02T15:00:00+0700,1.16095,1.16159,1.16023,1.16098,5458,0.0013599999999998058,0.002039285714285688,0.0013599999999998058,2.999999999997449e-05,0.0006099999999999994,0.0007199999999998319,0.5514705882352305,0,0,,0,0,0,0,1.1599847338161517,1.1582887046100097,1.16515,1.15889,1.16202,0,0
2025-12-02T19:00:00+0700,1.16098,1.16192,1.1598,1.16172,6309,0.002120000000000122,0.0021107142857142674,0.002120000000000122,0.000740000000000185,0.00019999999999997797,0.0011799999999999589,0.9056603773585064,0,0,,0,0,0,0,1.1601499972622327,1.1584232652135387,1.16515,1.15889,1.16202,0,0
2025-12-02T23:00:00+0700,1.16172,1.16228,1.1590799999999999,1.16068,9812,0.0032000000000000917,0.002166428571428553,0.0032000000000000917,0.001040000000000152,0.0005599999999998939,0.0016000000000000458,0.5,0,1,,0,0,0,0,1.1602004737134486,1.1585117646169294,1.16515,1.15889,1.16202,0,0
2025-12-03T03:00:00+0700,1.16068,1.16254,1.16052,1.16236,4255,0.0020199999999999108,0.002142857142857113,0.0020199999999999108,0.0016800000000001258,0.00017999999999984695,0.00015999999999993797,0.9108910891089828,0,0,,0,0,0,0,1.1604061428835963,1.1586626758084224,1.1623,1.1590799999999999,1.16068,0,0
2025-12-03T07:00:00+0700,1.1620300000000001,1.16371,1.16174,1.16364,2931,0.0019700000000000273,0.00202357142857141,0.0019700000000000273,0.0016099999999998893,7.00000000000145e-05,0.0002900000000001235,0.9644670050761353,0,0,,0,0,0,0,1.1607141292756347,1.158857864992406,1.1623,1.1590799999999999,1.16068,0,0
