time_utc,open,high,low,close,tick_volume,spread,real_volume
2025-01-14T00:00:00Z,1.02433,1.03082,1.02381,1.03066,51266,10,0
2025-01-15T00:00:00Z,1.03066,1.03538,1.02587,1.02872,44496,2,0
2025-01-16T00:00:00Z,1.02872,1.03146,1.02602,1.02953,48713,10,0
2025-01-17T00:00:00Z,1.02941,1.03301,1.02644,1.02647,43967,10,0
2025-01-20T00:00:00Z,1.02775,1.04338,1.02659,1.04146,48803,10,0
2025-01-21T00:00:00Z,1.04146,1.04349,1.03415,1.04241,58578,10,0
2025-01-22T00:00:00Z,1.04251,1.04568,1.03917,1.04075,45248,10,0
2025-01-23T00:00:00Z,1.04072,1.0437400000000001,1.03717,1.04141,45004,10,0
2025-01-24T00:00:00Z,1.04141,1.0521,1.04111,1.04901,49905,10,0
2025-01-27T00:00:00Z,1.04737,1.05327,1.04535,1.04905,54136,10,0
2025-01-28T00:00:00Z,1.04905,1.04922,1.04133,1.04289,48738,10,0
2025-01-29T00:00:00Z,1.04289,1.04432,1.03819,1.04198,49619,10,0
2025-01-30T00:00:00Z,1.04198,1.04674,1.03857,1.0387,47932,10,0
2025-01-31T00:00:00Z,1.0387,1.04335,1.03496,1.03596,57953,10,0
2025-02-03T00:00:00Z,1.02419,1.03494,1.02102,1.03429,81344,10,0
2025-02-04T00:00:00Z,1.03429,1.03871,1.02718,1.03776,52375,10,0
2025-02-05T00:00:00Z,1.03776,1.0442,1.03693,1.04009,47317,10,0
2025-02-06T00:00:00Z,1.04009,1.0405,1.03521,1.03821,42953,10,0
2025-02-07T00:00:00Z,1.03821,1.04118,1.03046,1.03261,49581,10,0
2025-02-10T00:00:00Z,1.02879,1.0336,1.02791,1.03055,37201,10,0
2025-02-11T00:00:00Z,1.03055,1.03805,1.02916,1.03599,35503,10,0
2025-02-12T00:00:00Z,1.03599,1.04293,1.03167,1.0381,49933,10,0
2025-02-13T00:00:00Z,1.0381,1.04665,1.03726,1.04625,54938,1,0
2025-02-14T00:00:00Z,1.04625,1.05138,1.04468,1.04899,42127,10,0
2025-02-17T00:00:00Z,1.04834,1.05059,1.04666,1.04827,28917,10,0
2025-02-18T00:00:00Z,1.04826,1.04858,1.04347,1.04444,35422,10,0
2025-02-19T00:00:00Z,1.04444,1.04609,1.04003,1.04212,38438,10,0
2025-02-20T00:00:00Z,1.04208,1.0503,1.04157,1.04999,40904,10,0
2025-02-21T00:00:00Z,1.04996,1.05052,1.0449,1.04516,42139,10,0
2025-02-24T00:00:00Z,1.047,1.05278,1.04524,1.04664,48668,4,0
2025-02-25T00:00:00Z,1.04664,1.05189,1.04558,1.05118,44388,10,0
2025-02-26T00:00:00Z,1.05118,1.05282,1.04745,1.0483,46650,10,0
2025-02-27T00:00:00Z,1.04827,1.04921,1.0396,1.03966,45226,10,0
2025-02-28T00:00:00Z,1.03966,1.04195,1.03595,1.03711,49853,10,0
2025-03-03T00:00:00Z,1.04025,1.05032,1.03882,1.04848,53509,10,0
2025-03-04T00:00:00Z,1.04848,1.06268,1.04706,1.06246,68725,10,0
2025-03-05T00:00:00Z,1.06247,1.07962,1.06016,1.07871,74310,10,0
2025-03-06T00:00:00Z,1.07871,1.0853,1.07652,1.07797,72769,10,0
2025-03-07T00:00:00Z,1.07795,1.08882,1.0778699999999999,1.08305,63408,10,0
2025-03-10T00:00:00Z,1.08297,1.08742,1.08046,1.08333,58090,10,0
2025-03-11T00:00:00Z,1.08333,1.09467,1.0826500000000001,1.09174,58906,10,0
2025-03-12T00:00:00Z,1.09174,1.09308,1.08752,1.08864,52937,10,0
2025-03-13T00:00:00Z,1.08863,1.08967,1.08221,1.08512,49809,10,0
2025-03-14T00:00:00Z,1.08511,1.09121,1.08302,1.08742,49652,10,0
2025-03-17T00:00:00Z,1.08743,1.0929,1.08681,1.09213,40265,10,0
